"season","competition","confront","home_club","home_goals","home_shots","home_shots_on_target","home_fouls","home_passes","home_wrong_passes","home_interceptions","home_tackles","home_stolen_balls","home_saves","home_ball_possession","home_offsides","home_freekicks","home_penalties","away_club","away_goals","away_shots","away_shots_on_target","away_fouls","away_passes","away_wrong_passes","away_interceptions","away_tackles","away_stolen_balls","away_saves","away_ball_possession","away_offsides","away_freekicks","away_penalties"
"2022",Campeonato Brasileiro,América Mineiro x Juventude,América Mineiro,1,6,10,16,90,25,28,10,20,16,0,0,0,0,Juventude,0,5,16,12,82,18,35,9,14,9,0,0,0,0
"2022",Campeonato Brasileiro,América Mineiro x São Paulo,América Mineiro,0,5,9,12,77,18,18,9,10,10,0,0,0,0,São Paulo,1,9,11,6,65,21,17,15,14,9,0,0,0,0
"2022",Campeonato Brasileiro,América Mineiro x Corinthians,América Mineiro,1,2,10,16,84,17,19,12,15,7,0,0,0,0,Corinthians,1,7,8,11,70,19,22,17,14,9,0,0,0,0
"2022",Campeonato Brasileiro,América Mineiro x Palmeiras,América Mineiro,1,9,7,15,80,24,20,12,13,14,0,0,0,0,Palmeiras,0,4,14,11,81,19,20,12,11,6,0,0,0,0
"2022",Campeonato Brasileiro,América Mineiro x Santos,América Mineiro,0,8,15,13,67,26,20,18,10,13,0,0,0,0,Santos,1,3,14,9,79,20,17,8,11,15,0,0,0,0
"2022",Campeonato Brasileiro,América Mineiro x Red Bull Bragantino,América Mineiro,0,7,11,19,78,22,17,14,15,10,0,0,0,0,Red Bull Bragantino,1,7,11,17,77,22,26,12,10,11,0,0,0,0
"2022",Campeonato Brasileiro,América Mineiro x Sport Recife,América Mineiro,1,6,9,11,81,17,22,12,13,8,0,0,0,0,Sport Recife,0,5,8,16,85,24,22,20,12,8,0,0,0,0
"2022",Campeonato Brasileiro,América Mineiro x Bahia,América Mineiro,1,0,11,11,83,26,21,15,16,10,0,0,0,0,Bahia,1,5,11,11,80,18,20,15,14,10,0,0,0,0
"2022",Campeonato Brasileiro,América Mineiro x Atlético Goianiense,América Mineiro,1,2,14,23,88,24,27,20,9,9,0,0,0,0,Atlético Goianiense,1,4,10,11,83,24,26,14,15,13,0,0,0,0
"2022",Campeonato Brasileiro,Atlético Mineiro x América Mineiro,Atlético Mineiro,2,3,14,9,80,29,17,18,18,8,0,0,0,0,América Mineiro,1,6,9,10,80,23,26,6,14,12,0,0,0,0
"2022",Campeonato Brasileiro,Atlético Mineiro x Athletico Paranaense,Atlético Mineiro,0,4,13,15,75,24,22,12,16,13,0,0,0,0,Athletico Paranaense,0,6,13,12,76,19,22,17,8,13,0,0,0,0
"2022",Campeonato Brasileiro,Atlético Mineiro x Ceará,Atlético Mineiro,0,2,12,7,73,16,20,17,11,7,0,0,0,0,Ceará,1,5,8,15,83,23,21,18,15,12,0,0,0,0
"2022",Campeonato Brasileiro,Atlético Mineiro x Fortaleza,Atlético Mineiro,0,5,12,16,82,26,18,12,15,10,0,0,0,0,Fortaleza,1,6,11,13,79,27,21,15,12,12,0,0,0,0
"2022",Campeonato Brasileiro,Atlético Mineiro x Flamengo,Atlético Mineiro,1,7,8,16,93,28,31,7,17,12,0,0,0,0,Flamengo,1,6,13,19,86,26,26,18,13,7,0,0,0,0
"2022",Campeonato Brasileiro,Atlético Mineiro x Fluminense,Atlético Mineiro,0,3,9,16,91,24,25,13,20,5,0,0,0,0,Fluminense,2,5,7,11,86,24,25,15,18,9,0,0,0,0
"2022",Campeonato Brasileiro,Atlético Mineiro x Cuiabá,Atlético Mineiro,1,9,10,17,81,22,26,9,16,7,0,0,0,0,Cuiabá,2,6,9,14,77,22,21,12,15,9,0,0,0,0
"2022",Campeonato Brasileiro,Atlético Mineiro x Grêmio,Atlético Mineiro,0,1,15,10,78,16,14,16,15,6,0,0,0,0,Grêmio,1,4,7,18,84,29,24,19,10,15,0,0,0,0
"2022",Campeonato Brasileiro,Atlético Mineiro x International,Atlético Mineiro,0,3,13,14,83,21,28,18,7,10,0,0,0,0,International,2,7,12,14,78,18,30,16,8,13,0,0,0,0
"2022",Campeonato Brasileiro,Atlético Mineiro x Chapecoense,Atlético Mineiro,0,4,12,8,72,17,15,18,13,7,0,0,0,0,Chapecoense,1,2,8,10,79,22,20,9,17,12,0,0,0,0
"2022",Campeonato Brasileiro,Atlético Mineiro x Juventude,Atlético Mineiro,2,4,13,10,61,15,20,13,13,8,0,0,0,0,Juventude,2,5,10,5,71,17,16,15,13,11,0,0,0,0
"2022",Campeonato Brasileiro,Atlético Mineiro x São Paulo,Atlético Mineiro,2,4,16,15,79,21,25,9,17,9,0,0,0,0,São Paulo,2,5,11,16,76,22,22,10,16,14,0,0,0,0
"2022",Campeonato Brasileiro,Atlético Mineiro x Corinthians,Atlético Mineiro,1,6,14,13,76,28,19,12,19,7,0,0,0,0,Corinthians,2,8,9,9,80,20,19,11,9,13,0,0,0,0
"2022",Campeonato Brasileiro,Atlético Mineiro x Palmeiras,Atlético Mineiro,0,0,10,13,98,24,22,14,19,6,0,0,0,0,Palmeiras,0,6,6,10,83,24,27,19,11,10,0,0,0,0
"2022",Campeonato Brasileiro,Atlético Mineiro x Santos,Atlético Mineiro,0,4,12,15,77,18,25,13,16,8,0,0,0,0,Santos,1,3,9,18,84,23,22,15,18,12,0,0,0,0
"2022",Campeonato Brasileiro,Atlético Mineiro x Red Bull Bragantino,Atlético Mineiro,1,4,8,20,96,32,20,11,17,9,0,0,0,0,Red Bull Bragantino,0,10,9,12,85,28,27,12,14,7,0,0,0,0
"2022",Campeonato Brasileiro,Atlético Mineiro x Sport Recife,Atlético Mineiro,0,6,19,17,70,25,15,21,9,11,0,0,0,0,Sport Recife,0,6,11,11,79,25,19,10,8,19,0,0,0,0
"2022",Campeonato Brasileiro,Atlético Mineiro x Bahia,Atlético Mineiro,0,2,14,12,73,21,25,7,17,10,0,0,0,0,Bahia,0,5,10,10,75,17,16,17,12,14,0,0,0,0
"2022",Campeonato Brasileiro,Atlético Mineiro x Atlético Goianiense,Atlético Mineiro,0,4,11,14,71,23,20,16,17,4,0,0,0,0,Atlético Goianiense,2,7,6,13,70,14,15,14,12,11,0,0,0,0
"2022",Campeonato Brasileiro,Athletico Paranaense x América Mineiro,Athletico Paranaense,0,6,11,15,74,18,17,11,10,12,0,0,0,0,América Mineiro,1,5,13,11,77,23,18,13,14,11,0,0,0,0
"2022",Campeonato Brasileiro,Athletico Paranaense x Atlético Mineiro,Athletico Paranaense,1,4,8,13,86,30,24,14,13,8,0,0,0,0,Atlético Mineiro,2,8,10,7,82,21,18,17,13,7,0,0,0,0
"2022",Campeonato Brasileiro,Athletico Paranaense x Ceará,Athletico Paranaense,0,5,8,6,79,20,20,18,13,8,0,0,0,0,Ceará,0,5,8,14,74,20,21,16,14,8,0,0,0,0
"2022",Campeonato Brasileiro,Athletico Paranaense x Fortaleza,Athletico Paranaense,0,8,4,16,91,19,28,15,13,10,0,0,0,0,Fortaleza,0,2,10,15,84,25,27,19,17,4,0,0,0,0
"2022",Campeonato Brasileiro,Athletico Paranaense x Flamengo,Athletico Paranaense,2,6,10,14,96,23,29,14,24,7,0,0,0,0,Flamengo,0,1,7,22,99,25,39,16,6,8,0,0,0,0
"2022",Campeonato Brasileiro,Athletico Paranaense x Fluminense,Athletico Paranaense,0,2,15,12,69,19,19,10,19,11,0,0,0,0,Fluminense,0,5,11,13,78,21,21,15,13,15,0,0,0,0
"2022",Campeonato Brasileiro,Athletico Paranaense x Cuiabá,Athletico Paranaense,0,6,6,11,79,16,18,12,12,13,0,0,0,0,Cuiabá,0,8,13,7,71,18,24,15,14,6,0,0,0,0
"2022",Campeonato Brasileiro,Athletico Paranaense x Grêmio,Athletico Paranaense,1,3,11,11,70,16,20,15,13,8,0,0,0,0,Grêmio,2,1,10,11,72,15,14,17,14,10,0,0,0,0
"2022",Campeonato Brasileiro,Athletico Paranaense x International,Athletico Paranaense,1,3,12,15,74,21,15,13,16,10,0,0,0,0,International,2,5,12,9,86,24,27,10,12,11,0,0,0,0
"2022",Campeonato Brasileiro,Athletico Paranaense x Chapecoense,Athletico Paranaense,2,3,11,9,71,23,20,10,16,10,0,0,0,0,Chapecoense,2,4,12,20,82,22,17,17,12,9,0,0,0,0
"2022",Campeonato Brasileiro,Athletico Paranaense x Juventude,Athletico Paranaense,0,5,13,8,71,28,19,16,13,7,0,0,0,0,Juventude,2,6,9,18,79,22,12,15,13,13,0,0,0,0
"2022",Campeonato Brasileiro,Athletico Paranaense x São Paulo,Athletico Paranaense,0,1,11,9,78,24,28,16,11,9,0,0,0,0,São Paulo,0,7,9,8,75,13,16,16,16,11,0,0,0,0
"2022",Campeonato Brasileiro,Athletico Paranaense x Corinthians,Athletico Paranaense,0,3,15,18,82,25,24,19,16,7,0,0,0,0,Corinthians,1,5,8,13,82,18,25,11,11,15,0,0,0,0
"2022",Campeonato Brasileiro,Athletico Paranaense x Palmeiras,Athletico Paranaense,1,3,11,13,81,26,19,12,12,15,0,0,0,0,Palmeiras,2,4,17,11,68,17,16,9,17,10,0,0,0,0
"2022",Campeonato Brasileiro,Athletico Paranaense x Santos,Athletico Paranaense,1,1,9,11,82,19,19,24,9,11,0,0,0,0,Santos,2,6,13,7,77,15,32,13,12,8,0,0,0,0
"2022",Campeonato Brasileiro,Athletico Paranaense x Red Bull Bragantino,Athletico Paranaense,0,8,7,11,71,22,19,13,16,7,0,0,0,0,Red Bull Bragantino,1,7,8,12,73,18,18,15,13,7,0,0,0,0
"2022",Campeonato Brasileiro,Athletico Paranaense x Sport Recife,Athletico Paranaense,0,2,9,11,75,21,16,8,14,9,0,0,0,0,Sport Recife,1,10,10,6,66,21,12,15,21,9,0,0,0,0
"2022",Campeonato Brasileiro,Athletico Paranaense x Bahia,Athletico Paranaense,0,6,13,15,75,20,22,14,11,10,0,0,0,0,Bahia,2,7,12,11,77,20,23,12,13,13,0,0,0,0
"2022",Campeonato Brasileiro,Athletico Paranaense x Atlético Goianiense,Athletico Paranaense,0,8,7,19,79,25,22,19,6,13,0,0,0,0,Atlético Goianiense,0,5,13,6,76,21,17,15,14,7,0,0,0,0
"2022",Campeonato Brasileiro,Ceará x América Mineiro,Ceará,1,5,11,13,96,31,28,17,9,15,0,0,0,0,América Mineiro,1,3,16,13,93,21,27,10,11,10,0,0,0,0
"2022",Campeonato Brasileiro,Ceará x Atlético Mineiro,Ceará,1,1,10,10,87,25,27,14,16,8,0,0,0,0,Atlético Mineiro,0,6,8,6,78,16,18,16,17,9,0,0,0,0
"2022",Campeonato Brasileiro,Ceará x Athletico Paranaense,Ceará,1,7,10,14,80,31,26,15,19,6,0,0,0,0,Athletico Paranaense,0,5,6,15,89,21,18,13,14,9,0,0,0,0
"2022",Campeonato Brasileiro,Ceará x Fortaleza,Ceará,1,3,15,9,89,29,26,12,10,11,0,0,0,0,Fortaleza,0,8,11,11,77,21,17,11,13,14,0,0,0,0
"2022",Campeonato Brasileiro,Ceará x Flamengo,Ceará,2,4,6,12,73,18,20,18,12,10,0,0,0,0,Flamengo,1,4,11,9,68,15,17,17,19,4,0,0,0,0
"2022",Campeonato Brasileiro,Ceará x Fluminense,Ceará,0,7,11,7,75,17,23,14,13,12,0,0,0,0,Fluminense,0,1,12,13,76,22,20,13,17,11,0,0,0,0
"2022",Campeonato Brasileiro,Ceará x Cuiabá,Ceará,1,5,8,7,81,21,20,12,16,8,0,0,0,0,Cuiabá,0,9,8,15,68,18,21,15,13,7,0,0,0,0
"2022",Campeonato Brasileiro,Ceará x Grêmio,Ceará,0,6,19,11,70,22,26,15,12,10,0,0,0,0,Grêmio,0,4,10,10,84,21,20,9,13,19,0,0,0,0
"2022",Campeonato Brasileiro,Ceará x International,Ceará,3,5,12,10,82,29,29,12,12,14,0,0,0,0,International,1,1,15,12,85,22,16,19,11,9,0,0,0,0
"2022",Campeonato Brasileiro,Ceará x Chapecoense,Ceará,0,4,12,9,75,19,18,13,16,12,0,0,0,0,Chapecoense,1,4,13,13,70,15,21,14,9,12,0,0,0,0
"2022",Campeonato Brasileiro,Ceará x Juventude,Ceará,0,8,10,16,88,20,24,14,10,11,0,0,0,0,Juventude,0,5,11,14,80,28,25,13,17,10,0,0,0,0
"2022",Campeonato Brasileiro,Ceará x São Paulo,Ceará,0,5,6,10,73,16,14,15,13,13,0,0,0,0,São Paulo,0,4,13,8,66,15,16,17,13,6,0,0,0,0
"2022",Campeonato Brasileiro,Ceará x Corinthians,Ceará,0,8,12,15,87,33,22,18,13,15,0,0,0,0,Corinthians,1,0,16,16,92,25,23,12,7,12,0,0,0,0
"2022",Campeonato Brasileiro,Ceará x Palmeiras,Ceará,1,5,11,8,84,18,28,11,16,8,0,0,0,0,Palmeiras,2,2,10,16,87,27,30,16,16,10,0,0,0,0
"2022",Campeonato Brasileiro,Ceará x Santos,Ceará,0,4,11,7,78,16,18,11,16,11,0,0,0,0,Santos,0,7,11,8,70,17,24,17,9,11,0,0,0,0
"2022",Campeonato Brasileiro,Ceará x Red Bull Bragantino,Ceará,0,2,7,11,82,20,17,12,14,15,0,0,0,0,Red Bull Bragantino,2,1,17,5,64,15,16,17,15,7,0,0,0,0
"2022",Campeonato Brasileiro,Ceará x Sport Recife,Ceará,2,5,10,12,87,27,22,17,10,12,0,0,0,0,Sport Recife,0,4,12,11,78,24,21,16,12,8,0,0,0,0
"2022",Campeonato Brasileiro,Ceará x Bahia,Ceará,0,4,11,12,82,23,22,16,14,15,0,0,0,0,Bahia,0,2,15,11,74,19,23,13,15,11,0,0,0,0
"2022",Campeonato Brasileiro,Ceará x Atlético Goianiense,Ceará,1,4,17,13,82,24,20,13,15,10,0,0,0,0,Atlético Goianiense,0,5,10,9,79,23,22,11,10,16,0,0,0,0
"2022",Campeonato Brasileiro,Fortaleza x América Mineiro,Fortaleza,0,3,12,8,67,18,13,16,18,9,0,0,0,0,América Mineiro,0,6,9,2,67,15,18,12,13,12,0,0,0,0
"2022",Campeonato Brasileiro,Fortaleza x Atlético Mineiro,Fortaleza,4,6,11,14,80,21,12,16,10,11,0,0,0,0,Atlético Mineiro,1,5,12,12,72,33,23,12,14,7,0,0,0,0
"2022",Campeonato Brasileiro,Fortaleza x Athletico Paranaense,Fortaleza,0,4,13,16,85,22,27,14,8,11,0,0,0,0,Athletico Paranaense,0,2,11,14,80,26,17,15,18,13,0,0,0,0
"2022",Campeonato Brasileiro,Fortaleza x Ceará,Fortaleza,1,1,11,14,84,19,20,12,16,14,0,0,0,0,Ceará,0,4,14,14,80,22,30,10,17,10,0,0,0,0
"2022",Campeonato Brasileiro,Fortaleza x Flamengo,Fortaleza,0,4,7,8,76,13,14,15,13,12,0,0,0,0,Flamengo,0,3,12,16,74,25,24,16,18,7,0,0,0,0
"2022",Campeonato Brasileiro,Fortaleza x Fluminense,Fortaleza,1,8,14,8,74,22,16,13,9,12,0,0,0,0,Fluminense,1,6,13,9,66,20,15,16,5,13,0,0,0,0
"2022",Campeonato Brasileiro,Fortaleza x Cuiabá,Fortaleza,0,5,10,8,68,20,20,13,16,8,0,0,0,0,Cuiabá,0,3,8,14,75,17,12,18,13,10,0,0,0,0
"2022",Campeonato Brasileiro,Fortaleza x Grêmio,Fortaleza,1,2,12,4,73,17,13,12,11,19,0,0,0,0,Grêmio,0,3,19,11,70,21,22,12,15,11,0,0,0,0
"2022",Campeonato Brasileiro,Fortaleza x International,Fortaleza,0,2,10,9,80,17,25,10,14,17,0,0,0,0,International,1,3,18,12,74,15,28,12,18,10,0,0,0,0
"2022",Campeonato Brasileiro,Fortaleza x Chapecoense,Fortaleza,0,6,14,9,82,21,24,10,11,11,0,0,0,0,Chapecoense,0,9,11,13,81,25,22,13,14,14,0,0,0,0
"2022",Campeonato Brasileiro,Fortaleza x Juventude,Fortaleza,1,7,12,8,82,18,20,11,11,8,0,0,0,0,Juventude,1,4,9,24,84,31,19,19,11,11,0,0,0,0
"2022",Campeonato Brasileiro,Fortaleza x São Paulo,Fortaleza,0,4,9,9,72,16,13,11,14,14,0,0,0,0,São Paulo,0,5,14,6,66,15,16,9,19,9,0,0,0,0
"2022",Campeonato Brasileiro,Fortaleza x Corinthians,Fortaleza,2,4,18,5,70,15,17,10,13,8,0,0,0,0,Corinthians,0,7,8,11,76,29,19,13,15,16,0,0,0,0
"2022",Campeonato Brasileiro,Fortaleza x Palmeiras,Fortaleza,0,7,8,12,86,19,16,11,13,19,0,0,0,0,Palmeiras,1,3,20,16,75,28,31,16,11,8,0,0,0,0
"2022",Campeonato Brasileiro,Fortaleza x Santos,Fortaleza,2,3,13,9,82,18,23,10,13,13,0,0,0,0,Santos,2,2,15,12,80,25,25,13,16,11,0,0,0,0
"2022",Campeonato Brasileiro,Fortaleza x Red Bull Bragantino,Fortaleza,1,2,18,14,75,19,24,8,22,12,0,0,0,0,Red Bull Bragantino,1,0,13,12,80,19,23,11,14,17,0,0,0,0
"2022",Campeonato Brasileiro,Fortaleza x Sport Recife,Fortaleza,0,5,13,10,73,26,21,12,14,15,0,0,0,0,Sport Recife,0,5,15,11,73,13,16,12,9,13,0,0,0,0
"2022",Campeonato Brasileiro,Fortaleza x Bahia,Fortaleza,0,7,8,14,78,25,20,12,16,10,0,0,0,0,Bahia,0,8,10,10,80,22,22,15,12,8,0,0,0,0
"2022",Campeonato Brasileiro,Fortaleza x Atlético Goianiense,Fortaleza,0,8,12,10,78,23,24,10,10,10,0,0,0,0,Atlético Goianiense,0,6,10,17,78,23,12,15,15,12,0,0,0,0
"2022",Campeonato Brasileiro,Flamengo x América Mineiro,Flamengo,1,6,13,8,70,23,17,6,20,13,0,0,0,0,América Mineiro,1,3,14,12,72,22,16,8,18,12,0,0,0,0
"2022",Campeonato Brasileiro,Flamengo x Atlético Mineiro,Flamengo,2,4,5,12,94,27,26,8,20,10,0,0,0,0,Atlético Mineiro,0,8,10,19,77,20,24,20,13,3,0,0,0,0
"2022",Campeonato Brasileiro,Flamengo x Athletico Paranaense,Flamengo,1,6,12,12,81,21,27,15,13,7,0,0,0,0,Athletico Paranaense,1,3,8,16,96,26,26,18,11,11,0,0,0,0
"2022",Campeonato Brasileiro,Flamengo x Ceará,Flamengo,0,4,11,8,76,19,22,20,6,9,0,0,0,0,Ceará,3,6,12,13,82,20,24,10,17,11,0,0,0,0
"2022",Campeonato Brasileiro,Flamengo x Fortaleza,Flamengo,2,3,12,16,86,13,30,17,11,7,0,0,0,0,Fortaleza,2,3,9,20,94,26,34,16,18,10,0,0,0,0
"2022",Campeonato Brasileiro,Flamengo x Fluminense,Flamengo,0,2,14,15,72,20,17,16,12,12,0,0,0,0,Fluminense,1,5,13,9,69,14,18,16,8,14,0,0,0,0
"2022",Campeonato Brasileiro,Flamengo x Cuiabá,Flamengo,1,1,15,12,73,19,23,13,15,9,0,0,0,0,Cuiabá,1,3,10,13,74,16,15,19,11,14,0,0,0,0
"2022",Campeonato Brasileiro,Flamengo x Grêmio,Flamengo,0,2,10,11,74,13,17,15,10,7,0,0,0,0,Grêmio,2,7,9,6,77,23,25,17,15,10,0,0,0,0
"2022",Campeonato Brasileiro,Flamengo x International,Flamengo,0,3,14,11,63,14,13,17,7,10,0,0,0,0,International,1,6,11,6,63,16,12,13,15,14,0,0,0,0
"2022",Campeonato Brasileiro,Flamengo x Chapecoense,Flamengo,2,2,9,6,74,19,14,14,19,6,0,0,0,0,Chapecoense,3,5,9,9,75,20,21,16,14,7,0,0,0,0
"2022",Campeonato Brasileiro,Flamengo x Juventude,Flamengo,1,1,13,19,89,28,28,13,17,8,0,0,0,0,Juventude,1,2,9,12,95,30,24,20,13,12,0,0,0,0
"2022",Campeonato Brasileiro,Flamengo x São Paulo,Flamengo,1,1,14,12,79,21,19,14,16,11,0,0,0,0,São Paulo,0,3,11,11,79,20,21,13,14,13,0,0,0,0
"2022",Campeonato Brasileiro,Flamengo x Corinthians,Flamengo,1,1,9,11,84,15,23,13,15,8,0,0,0,0,Corinthians,0,8,8,18,78,19,27,19,16,8,0,0,0,0
"2022",Campeonato Brasileiro,Flamengo x Palmeiras,Flamengo,0,6,12,9,80,18,25,15,10,6,0,0,0,0,Palmeiras,0,5,6,16,83,25,20,14,18,12,0,0,0,0
"2022",Campeonato Brasileiro,Flamengo x Santos,Flamengo,0,1,7,16,86,25,28,7,13,10,0,0,0,0,Santos,2,8,12,15,81,21,18,19,19,7,0,0,0,0
"2022",Campeonato Brasileiro,Flamengo x Red Bull Bragantino,Flamengo,0,3,6,10,77,29,12,12,17,11,0,0,0,0,Red Bull Bragantino,1,10,12,9,61,13,12,16,11,6,0,0,0,0
"2022",Campeonato Brasileiro,Flamengo x Sport Recife,Flamengo,2,2,10,15,84,29,25,13,7,9,0,0,0,0,Sport Recife,2,11,11,16,74,19,16,17,12,8,0,0,0,0
"2022",Campeonato Brasileiro,Flamengo x Bahia,Flamengo,2,6,15,15,80,27,23,15,13,11,0,0,0,0,Bahia,0,5,11,17,83,23,18,15,9,13,0,0,0,0
"2022",Campeonato Brasileiro,Flamengo x Atlético Goianiense,Flamengo,1,6,10,11,82,24,23,11,12,12,0,0,0,0,Atlético Goianiense,3,6,15,10,78,22,23,19,7,9,0,0,0,0
"2022",Campeonato Brasileiro,Fluminense x América Mineiro,Fluminense,0,4,17,12,74,18,22,11,11,9,0,0,0,0,América Mineiro,2,4,11,12,81,26,19,12,16,17,0,0,0,0
"2022",Campeonato Brasileiro,Fluminense x Atlético Mineiro,Fluminense,1,4,7,11,84,21,28,12,19,9,0,0,0,0,Atlético Mineiro,0,5,9,20,89,19,29,18,14,6,0,0,0,0
"2022",Campeonato Brasileiro,Fluminense x Athletico Paranaense,Fluminense,0,4,16,13,82,21,21,10,10,15,0,0,0,0,Athletico Paranaense,0,4,15,14,81,31,21,16,13,16,0,0,0,0
"2022",Campeonato Brasileiro,Fluminense x Ceará,Fluminense,1,3,12,22,80,30,21,13,14,13,0,0,0,0,Ceará,0,6,13,6,80,22,19,14,11,11,0,0,0,0
"2022",Campeonato Brasileiro,Fluminense x Fortaleza,Fluminense,0,3,12,16,79,21,14,15,13,11,0,0,0,0,Fortaleza,0,3,11,15,81,27,19,16,12,12,0,0,0,0
"2022",Campeonato Brasileiro,Fluminense x Flamengo,Fluminense,0,5,3,17,91,24,25,18,12,12,0,0,0,0,Flamengo,2,2,14,16,86,23,30,20,13,3,0,0,0,0
"2022",Campeonato Brasileiro,Fluminense x Cuiabá,Fluminense,2,3,15,15,74,23,24,16,17,7,0,0,0,0,Cuiabá,1,2,8,16,84,24,22,17,12,13,0,0,0,0
"2022",Campeonato Brasileiro,Fluminense x Grêmio,Fluminense,0,4,17,10,66,16,15,14,10,13,0,0,0,0,Grêmio,2,5,15,7,64,15,16,7,14,17,0,0,0,0
"2022",Campeonato Brasileiro,Fluminense x International,Fluminense,0,2,12,12,80,19,29,14,11,12,0,0,0,0,International,0,6,12,9,76,13,24,15,14,12,0,0,0,0
"2022",Campeonato Brasileiro,Fluminense x Chapecoense,Fluminense,1,4,13,7,73,19,24,12,9,11,0,0,0,0,Chapecoense,2,4,13,9,79,23,16,14,19,12,0,0,0,0
"2022",Campeonato Brasileiro,Fluminense x Juventude,Fluminense,1,7,12,12,68,21,23,10,13,12,0,0,0,0,Juventude,2,4,14,14,75,18,16,14,13,11,0,0,0,0
"2022",Campeonato Brasileiro,Fluminense x São Paulo,Fluminense,0,2,8,15,85,28,16,17,15,11,0,0,0,0,São Paulo,0,3,11,18,85,24,22,15,11,8,0,0,0,0
"2022",Campeonato Brasileiro,Fluminense x Corinthians,Fluminense,1,8,9,17,88,24,25,13,15,11,0,0,0,0,Corinthians,4,2,15,24,94,30,33,10,14,8,0,0,0,0
"2022",Campeonato Brasileiro,Fluminense x Palmeiras,Fluminense,0,1,8,13,77,19,24,15,13,11,0,0,0,0,Palmeiras,1,1,12,14,81,17,18,17,20,8,0,0,0,0
"2022",Campeonato Brasileiro,Fluminense x Santos,Fluminense,1,2,12,10,72,14,21,14,10,14,0,0,0,0,Santos,1,2,15,8,77,19,25,10,18,11,0,0,0,0
"2022",Campeonato Brasileiro,Fluminense x Red Bull Bragantino,Fluminense,0,6,13,16,85,34,20,15,14,9,0,0,0,0,Red Bull Bragantino,0,3,9,13,93,36,19,13,12,13,0,0,0,0
"2022",Campeonato Brasileiro,Fluminense x Sport Recife,Fluminense,1,3,13,20,81,24,26,16,16,7,0,0,0,0,Sport Recife,1,4,8,12,82,18,21,17,11,12,0,0,0,0
"2022",Campeonato Brasileiro,Fluminense x Bahia,Fluminense,0,6,13,11,67,16,20,14,9,13,0,0,0,0,Bahia,1,2,14,12,72,19,14,13,17,13,0,0,0,0
"2022",Campeonato Brasileiro,Fluminense x Atlético Goianiense,Fluminense,0,5,12,12,72,18,11,14,14,12,0,0,0,0,Atlético Goianiense,2,4,14,9,66,17,21,8,12,12,0,0,0,0
"2022",Campeonato Brasileiro,Cuiabá x América Mineiro,Cuiabá,0,6,10,11,76,13,13,17,15,11,0,0,0,0,América Mineiro,1,1,12,12,76,21,28,9,13,10,0,0,0,0
"2022",Campeonato Brasileiro,Cuiabá x Atlético Mineiro,Cuiabá,1,6,12,11,71,15,21,15,11,9,0,0,0,0,Atlético Mineiro,2,6,11,8,76,18,24,11,13,11,0,0,0,0
